,x,y
0,0.9152331752076748,21.0
1,0.9183179786689863,41.0
2,0.9214027821302979,55.0
3,0.9244875855916094,65.0
4,0.9275723890529209,70.0
5,0.9306571925142325,36.0
6,0.933741995975544,42.0
7,0.9368267994368555,20.0
8,0.9399116028981671,5.0
9,0.9429964063594787,4.0
10,0.9460812098207902,1.0
11,0.9491660132821017,1.0
12,0.9522508167434133,0.0
13,0.9553356202047248,0.0
14,0.9584204236660363,0.0
15,0.9615052271273479,0.0
16,0.9645900305886594,0.0
17,0.967674834049971,0.0
18,0.9707596375112826,0.0
19,0.9738444409725941,0.0
20,0.9769292444339056,0.0
21,0.9800140478952172,0.0
22,0.9830988513565286,0.0
23,0.9861836548178402,0.0
24,0.9892684582791518,0.0
25,0.9923532617404633,0.0
26,0.9954380652017749,0.0
27,0.9985228686630865,0.0
28,1.001607672124398,0.0
29,1.0046924755857094,0.0
30,1.007777279047021,0.0
31,1.0108620825083325,0.0
32,1.013946885969644,0.0
33,1.0170316894309557,0.0
34,1.0201164928922672,0.0
35,1.0232012963535788,1.0
36,1.0262860998148904,0.0
37,1.029370903276202,0.0
38,1.0324557067375133,0.0
39,1.0355405101988249,0.0
40,1.0386253136601364,0.0
41,1.041710117121448,0.0
42,1.0447949205827596,1.0
43,1.0478797240440711,0.0
44,1.0509645275053827,0.0
45,1.0540493309666943,0.0
46,1.0571341344280056,0.0
47,1.0602189378893172,0.0
48,1.0633037413506288,0.0
49,1.0663885448119403,0.0
50,1.069473348273252,0.0
51,1.0725581517345635,0.0
52,1.075642955195875,0.0
53,1.0787277586571866,0.0
54,1.0818125621184982,0.0
55,1.0848973655798095,0.0
56,1.087982169041121,0.0
57,1.0910669725024327,0.0
58,1.0941517759637442,0.0
59,1.0972365794250558,0.0
60,1.1003213828863674,0.0
61,1.103406186347679,0.0
62,1.1064909898089905,0.0
63,1.1095757932703019,0.0
64,1.1126605967316134,0.0
65,1.115745400192925,0.0
66,1.1188302036542366,0.0
67,1.1219150071155481,0.0
68,1.1249998105768597,0.0
69,1.1280846140381713,0.0
70,1.1311694174994829,0.0
71,1.1342542209607942,0.0
72,1.1373390244221058,0.0
73,1.1404238278834173,0.0
74,1.143508631344729,0.0
75,1.1465934348060405,0.0
76,1.149678238267352,0.0
77,1.1527630417286636,0.0
78,1.1558478451899752,0.0
79,1.1589326486512868,0.0
80,1.162017452112598,0.0
81,1.1651022555739097,0.0
82,1.1681870590352212,0.0
83,1.1712718624965328,0.0
84,1.1743566659578444,0.0
85,1.177441469419156,0.0
86,1.1805262728804675,0.0
